postId,postAuthor,postText,creationTime,postUrl,commentAuthorName,commentText,commentId,depth,postAuthor_gender_hybrid
1371398077245118,Anonymous participant,Hay fotografos para los grados del 19 y 20 de junio?,06/06/2025 014415 AM,1371398077245118.0,,,,,anonymous
1371351577249768,Karen Mancilla,"Holii,se aproximan grados y quisiera pasar a ofrecer mis servicios como maquilladora (tambien hago peinados)  cobro economico 
Info: 3222243453

Quedan pocos cupos para los grados del 19 de junio 

(Ya tengo los horarios)

https://instagram.com/kamala.makeup_?igshid=OGQ5ZDc2ODk2ZA==",06/06/2025 120318 AM,1371351577249768.0,,,,,female
1370462564005336,Diego Arango,"Alquien que haga informes de laboratorio, persona confiable",06/04/2025 055741 PM,1370462564005336.0,,,,,male
1371290463922546,Camila Caceres Ochai,Holaaa alguien vende alguna bicicleta negra o rosita jaja mi presupuesto es 200 mil maximo no importa que sea viejita :(,06/05/2025 095315 PM,1371290463922546.0,,,,,female
1371069630611296,Anonymous participant,Se encontro esta cedula se dejo en porteria,06/05/2025 011635 PM,1371069630611296.0,,,,,anonymous
1370927047292221,Lider Universitario,,06/05/2025 102001 AM,1370927047292221.0,,,,,male
1370915893960003,David Uribe,Info al interno pagos inmediato desde 100k en adelante dependiendo la veterania,06/05/2025 100100 AM,1370915893960003.0,,,,,male
1370902637294662,Freeze Fruits,"Holalaaaa, 
Ya estamos en la entrada de la U. 

Venimos recargados con todos nuestros Toppings. 

compren, compren, compren, compren, compren ",06/05/2025 093909 AM,1370902637294662.0,,,,,male
1370892293962363,Felipe Investigador Tesista," ?Necesitas ayuda con tu tesis o proyecto de grado? 

!No estas solo! Te ofrecemos asesoria personalizada y elaboracion de proyectos academicos hechos a tu medida. Somos expertos en acompanarte en cada etapa de tu formacion universitaria.

 Te apoyamos en:
 Propuestas
 Anteproyectos
 Proyectos de grado (pregrado, posgrado, maestria)
 Monografias
 Ensayos academicos
 Articulos cientificos
 Presentaciones en diapositivas y sustentaciones
 Correcciones en Normas APA, Vancouver e ICONTEC
 Revision de redaccion y observaciones completas del tutor

 Nos adaptamos a tus necesidades y tiempos, garantizando calidad, originalidad y confidencialidad.

 Contactanos ahora y recibe una cotizacion gratuita:
 +57 (302) 599-7499

Haz realidad tu titulo con un equipo que te respalda. !Te esperamos!",06/05/2025 092236 AM,1370892293962363.0,,,,,male
1370885510629708,Alexander Reina Garzon,"Buen dia muchach@s, consulta: que cursos de portugues se tienen disponibles de forma virtual? Con las 3B",06/05/2025 091016 AM,1370885510629708.0,,,,,male
1370882053963387,Maortz Ortz,"Tesina 

Monografia 

Proyecto de tesis , grado , investigacion, publicacion, cientifica 

Proyectos de aula

Proyectos corporativos 

Articulos cientificos para publicar en revista publindex de cuarteles Q1, Q2, Q3,Q3 y A1 y A2

Informes y ensayos de  investigacion academico , grado practica 

Informes empresariales 

Informes corporativos 

Articulo cientifico , de investigacion, academico,grado publicacion 

Revision sistematica 

Revision bibliografica 

Propuesta de investigacion y grado 

Anteproyecto de investigacion y opcion de grado

Preparacion para sustentacion de tesis de grado , TFM

Asesorias psicologicas 

Asesorias academicas 

Talleres 

Trabajos 

Tareas

Lineas de tiempo 

Mapas conceptual y mental 

Cuadros sinopticos y comparativos

Correccion redaccion terminacion aplicacion de normas apa 7 edicion y Vancouver para tesis de grado ,tesina , monografia, proyectos trabajos 

Para mas informacion al WhatsApp +573138885054",06/05/2025 090346 AM,1370882053963387.0,,,,,male
1370865833965009,Viviana Andrea Diaz Parada,,06/05/2025 083412 AM,1370865833965009.0,,,,,female
1370861473965445,Matematicas Andre,"3142950342 final de SEMESTRE te ayudamos en parciales, quiz, talleres en matematicas universitarias.",06/05/2025 082556 AM,1370861473965445.0,,,,,male
1370594570658802,Anonymous participant,"Hola,alguno esta interesado en vender alguna boleta para los grados de fisicomecanicas de Junio 2025 o saben como solicitar otra ?",06/04/2025 110412 PM,1370594570658802.0,,,,,anonymous
1370472810670978,Anonymous participant,"""Se arrienda habitacion sin amoblar, con bano privado, armario y parqueadero para moto. Ambiente no familiar. Preferiblemente para mujer. Ubicada en la carrera 17 #13-12, cerca a la Universidad Santo Tomas."" informacion al 3186498709",06/04/2025 062420 PM,1370472810670978.0,,,,,anonymous
1370472244004368,Gonzales Yaz,"BUSCO
Personas que deseen aprender ingles interactivo hasta nivel B2, con preparacion a pruebas internacionales y certificado internacional.",06/04/2025 062259 PM,1370472244004368.0,,,,,male
1370315314020061,Alf J Tatan,"Venta 

Proyector (Led projector)
Nuevo

Bucaramanga",06/04/2025 122050 PM,1370315314020061.0,,,,,female
1370442107340715,Harry Blackburn,"Rockeros UIS:

https://chat.whatsapp.com/Dc0zggF692eFnVVQYdnlyO

 !Atencion Comunidad UIS! 

Este viernes 6 de junio, los Rockeros UIS estaremos presentes en un tributo epico al Grunge en Baba Yaga. Si te gusta el sonido crudo y autentico de los 90, !no te lo puedes perder! 

 Bandas homenajeadas:

Alice in Chains * Pearl Jam * Soundgarden * Nirvana

 Fecha: Viernes 06 de Junio 2025

 Hora: 8:00 p.m.

 Lugar: Baba Yaga - Cra 36 # 48-84

 Preventa: $15k 

 Taquilla: $20k

Apoyemos la escena local y vivamos juntos una noche llena de distorsion, nostalgia y buena vibra. !Nos vemos alla! ",06/04/2025 050236 PM,1370442107340715.0,,,,,male
1370360797348846,Sebastian Meneses Mariscal,Se pueden promocionar emprendimientos? Compartan link en comentarios. Si esta prohibido no me baneen y borren el post,06/04/2025 015039 PM,1370360797348846.0,,,,,male
1370400324011560,Anonymous participant,"Arriendo habitacion amplia, economica, cerca a Megamall, HUS, fac. Salud UIS y UCC. 3015453752",06/04/2025 031703 PM,1370400324011560.0,,,,,anonymous
1370362200682039,Fer Ruiz,,06/04/2025 015358 PM,1370362200682039.0,,,,,female
1370349857349940,Anonymous participant,"Trabajos para Universidad y maestria de calidad.

Soy un profesor de Filosofia a quien le gusta la escritura y apasionado por el lenguaje, pongo mi talento a tu disposicion para que logres tus metas profesionales con el merito que te mereces.

Realizo asesorias para tesis, ensayos y todo tipo de trabajo para pre-grado, maestria o doctorado.

Contacto: 310 696 6618

Jorge Delmar, tu redactor profesional.

[#TesisColombia](https://www.facebook.com/hashtag/tesiscolombia?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#TrabajosUniversitarios](https://www.facebook.com/hashtag/trabajosuniversitarios?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#TesisDePostgrado](https://www.facebook.com/hashtag/tesisdepostgrado?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#tesisdoctoral](https://www.facebook.com/hashtag/tesisdoctoral?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#TesisDePregrado](https://www.facebook.com/hashtag/tesisdepregrado?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#tesisdegrado](https://www.facebook.com/hashtag/tesisdegrado?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#redaccionprofesional](https://www.facebook.com/hashtag/redaccionprofesional?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#correcciondetextos](https://www.facebook.com/hashtag/correcciondetextos?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R) [#AsesoriaDeTesis](https://www.facebook.com/hashtag/asesoriadetesis?__eep__=6&__cft__%5b0%5d=AZX_yu1Xvye7vPz4u0DSkSeVY4fLsruUVjPlvRuCQCnclYR982SH8wxtzClgtnPxBk0bSV_yXh3g4_r4CRBRi200MVtBqL_wwXMJbhvtclK2xEiHe0kxDuITs64flxQQTkoNezWKoSxDW54AZjAJloUEqen3qruXleznDYuq9X0P4qJLvOyfWWfJfT_JalIQi-k&__tn__=*NK-R)",06/04/2025 012750 PM,1370349857349940.0,,,,,anonymous
1370332237351702,Felipe Investigador Tesista," ?Necesitas ayuda con tu tesis o proyecto de grado? 

!No estas solo! Te ofrecemos asesoria personalizada y elaboracion de proyectos academicos hechos a tu medida. Somos expertos en acompanarte en cada etapa de tu formacion universitaria.

 Te apoyamos en:
 Propuestas
 Anteproyectos
 Proyectos de grado (pregrado, posgrado, maestria)
 Monografias
 Ensayos academicos
 Articulos cientificos
 Presentaciones en diapositivas y sustentaciones
 Correcciones en Normas APA, Vancouver e ICONTEC
 Revision de redaccion y observaciones completas del tutor

 Nos adaptamos a tus necesidades y tiempos, garantizando calidad, originalidad y confidencialidad.

 Contactanos ahora y recibe una cotizacion gratuita:
 +57 (302) 599-7499

Haz realidad tu titulo con un equipo que te respalda. !Te esperamos!",06/04/2025 125247 PM,1370332237351702.0,,,,,male
1370263084025284,Mayerli Salas,"**Estamos en busqueda de una mujer proactiva, con manejo del idioma ingles y al menos un ano de experiencia como monitora. El horario disponible es de 2:00 p.m. a 10:00 p.m., en la zona de San Alonso. Se ofrece un entorno estable, ingresos competitivos y bonificaciones por desempeno. Ademas, quienes formen parte del equipo tienen la posibilidad de participar en programas internos con incentivos adicionales.** **Si te interesa, escribenos por DM**

*o si prefieres, contactanos por WhatsApp*  https://wa.link/ajjzfb",06/04/2025 104800 AM,1370263084025284.0,,,,,female
1370261290692130,Alexander Reina Garzon,"Buen dia muchach@s, consulta: que cursos de portugues se tienen disponibles de forma virtual? Con las 3B",06/04/2025 104451 AM,1370261290692130.0,,,,,male
1370256394025953,Freeze Fruits,"Holalaaaa ya estamos en la Entrada de la U. 

Ven y prueba un chocobanano",06/04/2025 103610 AM,1370256394025953.0,,,,,male
1370230907361835,Luz Adriana Tirado Santamaria,"HOLA BUEN DIA 
FRENTE A LUIS A CALVO ",06/04/2025 095213 AM,1370230907361835.0,,,,,female
1370119024039690,Soluc Claud,"Whatsapp 3203241499. Calculo diferencial, integral, multivariado, algebra lineal, estadistica inferencial, descriptiva, ecuaciones diferenciales etc.",06/04/2025 063031 AM,1370119024039690.0,,,,,male
1369514487433477,Karen Mancilla,Alguien tiene el contacto de una persona que sepa hacer decoracion con globos y otra persona que haga Pasabocas?,06/03/2025 093640 AM,1369514487433477.0,,,,,female
1369763707408555,Finca Raiz Santander," ARRIENDO APTO PIDECUESTA 
Conjunto Vega de San Roque, 2 piso
3 habitaciones 
Sala, comedor
 Cocina integral 
1 bano
 Balcon 
Parqueadero comunal carro o moto 
Vigilancia 
Piscina 
Zona de juego para ninos 
Zonas verdes
Valor 700.000 
Administracion 88400
Requisitos 
1 fiador finca Raiz 
1  Codeudor laboral que genere ingresos al doble del valor del canon

Para mas informacion llamar al 315 6797558",06/03/2025 055650 PM,1369763707408555.0,,,,,female
1369755214076071,Delmar Redaccion,"**ASESORIAS UNIVERSITARIAS PARA TUS TRABAJOS DE CARRERA Y ESPECIALIZACION.**

SI QUIERES ENTREGAR TRABAJOS DE CALIDAD Y CON CORRECCION PROFESIONAL CUENTA CONMIGO.

SOY JORGE DELMAR. REDACTOR, ESCRITOR Y PROFESOR DE FILOSOFIA GRADUADO EN LA UNIVERSIDAD DE NARINO.
CONTACTO: 310 696 6618

! CUMPLE TUS OBJETIVOS PROFESIONALES Y SUBE DE NIVEL !

[#TrabajosUniversitarios](https://www.facebook.com/hashtag/trabajosuniversitarios?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#tesis](https://www.facebook.com/hashtag/tesis?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#TesisDePregrado](https://www.facebook.com/hashtag/tesisdepregrado?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#TesisDePostgrado](https://www.facebook.com/hashtag/tesisdepostgrado?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#tesisdoctoral](https://www.facebook.com/hashtag/tesisdoctoral?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#tesisdegrado](https://www.facebook.com/hashtag/tesisdegrado?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#redaccionprofesional](https://www.facebook.com/hashtag/redaccionprofesional?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#ensayosacademicos](https://www.facebook.com/hashtag/ensayosacademicos?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R) [#ensayosuniversitarios](https://www.facebook.com/hashtag/ensayosuniversitarios?__eep__=6&__cft__%5b0%5d=AZWG5JNnGiAzfJTxi45WI51Sa8MEzFBi-8I6TIfLSkf3wT_SOSHAa-sZLMrbjCAiIBb6hRX8FPddQb6OVIQjSGVV5XtwdPt1tWiBW4jb1snzSaqEA3GDsuA0xnNvtuhhQ03zfbAC1NVajB8wvI5_k676I9uezxOJlAL2gtD2iDsslWYtxu8eVzDOLlzbHh1Brdc&__tn__=*NK-R)",06/03/2025 053521 PM,1369755214076071.0,,,,,female
1369742997410626,Jackeline Tolosa,"Arriendo habitacion amoblada y sin amoblar cerca a la Uis, todos los servicios.
Inf 3013610520",06/03/2025 050400 PM,1369742997410626.0,,,,,female
1369740767410849,Viviana Andrea Diaz Parada,,06/03/2025 045850 PM,1369740767410849.0,,,,,female
1369579620760297,Anonymous participant,"buenas alguien me puede ayudar con un tema, acabo de ver mi avance de plan de estudios y me percato que ""vida y cultura universitaria"" de primer semestre me aparece en amarillo como si no la hubiese cursado (ya voy en 7 semestre entonces no se que pudo pasar y si la curse de manera virtual durante pandemia). Alguien mas tiene este problema?... No se como solucionarlo",06/03/2025 113450 AM,1369579620760297.0,,,,,anonymous
1369727974078795,SEA - UIS,"** !El semestre esta por terminar y en el SEA celebramos tu esfuerzo!**

Sabemos que el camino no siempre es facil, pero recuerda: siempre hay una nueva oportunidad para mejorar, aprender y avanzar.

** En esta recta final, no estas solo.**

Consulta los apoyos academicos que tenemos disponibles para ti y aprovecha al maximo cada espacio.

 Siguenos en en nuestras redes sociales de Facebook: SEA-UIS https://www.facebook.com/SEAUIS o Instagram @sea_uis: https://www.instagram.com/sea_uis?igsh=Y3FzNnI5ZW80NGF3...  y enterate de todo lo que hemos preparado para acompanarte.

** !Con tu esfuerzo y el acompanamiento del SEA-UIS tu exito academico y profesional es posible!**",06/03/2025 042802 PM,1369727974078795.0,,,,,female
1369610090757250,Punto Visual Santander,"Buen dia! Les ofrecemos nuestros servicios! En salud visual,con los mejores precios al bolsillo del estudiante! Servicio a domicilio sin costo adicional! Ya hemos ayudando con nuestro servicios a muchos estudiantes de la U!",06/03/2025 123210 PM,1369610090757250.0,,,,,female
1369585090759750,Jairo Mejia,Hola alguna chica interesada en hacer aseo hoy porfa,06/03/2025 114417 AM,1369585090759750.0,,,,,male
1369584657426460,Matematicas Andre,"Final de semestre. Comunicate te ayudamos en parciales, quiz, talleres, etc whatsapp 3142950342",06/03/2025 114332 AM,1369584657426460.0,,,,,male
1369126820805577,Patricia Galvis,,06/02/2025 084329 PM,1369126820805577.0,,,,,female
1369122957472630,Anonymous participant,"Vendo mesa de dibujo profesional con tablero de 80 x 120 cm, en buen estado general, 
 Incluye:
 * Iluminacion LED totalmente funcional
 * Regla paralela Faber-Castell
 * Plantilla de figuras geometricas basicas
 * Plantilla tecnica metalica
 * Casco de seguridad

 Tiene rayones por el uso, pero todo funciona perfectamente.
 Precio original: $799.900
 Precio de venta: $500.000 (negociable)

Envios unicamente a Bucaramanga, Floridablanca, Giron y Piedecuesta.

Ideal para estudiantes o profesionales de arquitectura, diseno, dibujo tecnico o ingenieria.
Contacto - 3025119739",06/02/2025 083451 PM,1369122957472630.0,,,,,anonymous
1369117720806487,Tracy John,Si mi gato cantara ,06/02/2025 082356 PM,1369117720806487.0,,,,,female
1369059684145624,Academicos SA,"Te apoyamos en todos tus trabajos, maestrias, TFM, TFG, TFD y proyectos de grado. Wpp: https://wa.me/message/Q3BHGNILLEMOE1",06/02/2025 060331 PM,1369059684145624.0,,,,,female
1369038017481124,TECNO FULL,"Imagina que estas preparandote para una noche especial, sin salir de casa  
Con nuestro kit de productos de belleza, podras:

Define tus rizos, seca la raiz, con nuestro accesorios perfecto para tus definicion  
 Alisar y estilizar tu cabello con nuestra planchas de calidad
 Crear ondas o rizos perfectos con nuestras rizadoras
 Secar y dar brillo a tu cabello con nuestro secador de alta potencia

Y para completar tu look, puedes agregar un toque de glamour con nuestros productos de cuidado personal.

Mas informacion 
Envios a todo el pais  | Paga contra entrega 

WhatsApp: 301 8817024

!Haz tu pedido ahora y experimenta la diferencia que nuestros productos pueden hacer en tu look! 

(Valido hasta agotar existencias )",06/02/2025 050901 PM,1369038017481124.0,,,,,female
1368997730818486,Kharyn Nicole,"hola buenas tardes, algun tutor de balance de materia???",06/02/2025 033239 PM,1368997730818486.0,,,,,male
1368974594154133,Juan Sebastian Alba Gamboa,"Hola compas, para los que necesiten algo de ayuda en esta ultima semana de parciales, aca les dejo mi contacto. Mucha suerte :3",06/02/2025 024045 PM,1368974594154133.0,,,,,male
